URL,productImage ,imageBack,Headline,Description ,price,plp-rating__sr-only
https://www.ikea.com/rs/sr/p/naemmaroe-stolica-s-rukohvatima-spolja-svetlosmede-bajcovano-90511105/,https://www.ikea.com/rs/sr/images/products/naemmaroe-stolica-s-rukohvatima-spolja-svetlosmede-bajcovano__1138763_pe880063_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/naemmaroe-stolica-s-rukohvatima-spolja-svetlosmede-bajcovano__1191035_pe900409_s5.jpg?f=xxs,NÄMMARÖ,"Stolica s rukohvatima,spolja, svetlosmeđe bajcovano",5.500,Pregled: 4.7 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/taernoe-stolica-spolja-sklopivo-crna-svetlosmede-bajcovano-90095428/,https://www.ikea.com/rs/sr/images/products/taernoe-stolica-spolja-sklopivo-crna-svetlosmede-bajcovano__0728354_pe736202_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/taernoe-stolica-spolja-sklopivo-crna-svetlosmede-bajcovano__0667583_pe713986_s5.jpg?f=xxs,TÄRNÖ,"Stolica, spolja, sklopivo crna/svetlosmeđe bajcovano",2.500,Pregled: 4.5 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/askholmen-sto-za-zid-i-2-sklop-stolice-spolj-tamnosmeda-kuddarna-svetla-sivobez-s69578249/,https://www.ikea.com/rs/sr/images/products/askholmen-sto-za-zid-i-2-sklop-stolice-spolj-tamnosmeda-kuddarna-svetla-sivobez__1380037_pe961594_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/askholmen-sto-za-zid-i-2-sklop-stolice-spolj-tamnosmeda-kuddarna-svetla-sivobez__1407987_pe971659_s5.jpg?f=xxs,ASKHOLMEN,"Sto za zid i 2 sklop.stolice, spolj, tamnosmeđa/Kuddarna svetla sivobež, 70x44 cm",10.699,Pregled: 4.8 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/taernoe-stolicica-crna-svetlosmede-bajcovano-70603281/,https://www.ikea.com/rs/sr/images/products/taernoe-stolicica-crna-svetlosmede-bajcovano__1488013_pe1003289_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/taernoe-stolicica-crna-svetlosmede-bajcovano__1488014_pe1003290_s5.jpg?f=xxs,TÄRNÖ,"Stoličica, crna/svetlosmeđe bajcovano, 30x42 cm",1.000,Pregled: 4.6 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/skarpoe-fotelja-spolja-bez-50575811/,https://www.ikea.com/rs/sr/images/products/skarpoe-fotelja-spolja-bez__1455118_pe991851_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/skarpoe-fotelja-spolja-bez__1455117_pe991852_s5.jpg?f=xxs,SKARPÖ,"Fotelja, spolja, bež",4.999,Pregled: 4.7 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/taernoe-sto-i-2-stolice-spolja-crna-svetlosmede-bajcovano-s69898415/,https://www.ikea.com/rs/sr/images/products/taernoe-sto-i-2-stolice-spolja-crna-svetlosmede-bajcovano__0736028_pe740355_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/taernoe-sto-i-2-stolice-spolja-crna-svetlosmede-bajcovano__0997576_ph177494_s5.jpg?f=xxs,TÄRNÖ,"Sto i 2 stolice, spolja, crna/svetlosmeđe bajcovano",7.999,Pregled: 4.6 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/naemmaroe-stolica-s-podesivim-naslonom-spolja-sklopivo-svetlosmede-bajcovano-50510301/,https://www.ikea.com/rs/sr/images/products/naemmaroe-stolica-s-podesivim-naslonom-spolja-sklopivo-svetlosmede-bajcovano__1138757_pe880057_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/naemmaroe-stolica-s-podesivim-naslonom-spolja-sklopivo-svetlosmede-bajcovano__1170513_ph189345_s5.jpg?f=xxs,NÄMMARÖ,"Stolica s podesivim naslonom,spolja, sklopivo svetlosmeđe bajcovano",6.500,Pregled: 4.6 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/sundsoe-sklopiva-stolica-tamnoplava-napolju-50575887/,https://www.ikea.com/rs/sr/images/products/sundsoe-sklopiva-stolica-tamnoplava-napolju__1352292_pe952168_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/sundsoe-sklopiva-stolica-tamnoplava-napolju__1386982_pe964076_s5.jpg?f=xxs,SUNDSÖ,"Sklopiva stolica, tamnoplava napolju",3.500,Pregled: 4.8 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/torparoe-balkonski-sto-bela-40595720/,https://www.ikea.com/rs/sr/images/products/torparoe-balkonski-sto-bela__1376272_pe960446_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/torparoe-balkonski-sto-bela__1382734_pe962337_s5.jpg?f=xxs,TORPARÖ,"Balkonski sto, bela, 50 cm",2.499,Pregled: 3.3 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/fejan-sto-i-2-sklopive-stolice-spolja-bela-bela-s59434949/,https://www.ikea.com/rs/sr/images/products/fejan-sto-i-2-sklopive-stolice-spolja-bela-bela__1035546_pe838191_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/fejan-sto-i-2-sklopive-stolice-spolja-bela-bela__1035547_pe838172_s5.jpg?f=xxs,FEJAN,"Sto i 2 sklopive stolice, spolja, bela/bela",5.399,Pregled: 4.2 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/askholmen-zidni-sto-spolja-preklopno-tamnosmeda-70557496/,https://www.ikea.com/rs/sr/images/products/askholmen-zidni-sto-spolja-preklopno-tamnosmeda__1283386_pe932467_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/askholmen-zidni-sto-spolja-preklopno-tamnosmeda__1246728_pe922268_s5.jpg?f=xxs,ASKHOLMEN,"Zidni sto, spolja, preklopno tamnosmeđa, 70x44 cm",3.699,Pregled: 4.9 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/naemmaroe-sto-spolja-svetlosmede-bajcovano-00510308/,https://www.ikea.com/rs/sr/images/products/naemmaroe-sto-spolja-svetlosmede-bajcovano__1138764_pe880049_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/naemmaroe-sto-spolja-svetlosmede-bajcovano__1170515_ph189071_s5.jpg?f=xxs,NÄMMARÖ,"Sto, spolja, svetlosmeđe bajcovano, 75x63 cm",6.999,Pregled: 4.6 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/naemmaroe-element-za-modularnu-sofu-spolja-svetlosmede-bajcovano-10510299/,https://www.ikea.com/rs/sr/images/products/naemmaroe-element-za-modularnu-sofu-spolja-svetlosmede-bajcovano__1138748_pe880048_s5.jpg?f=xxs,,NÄMMARÖ,"Element za modularnu sofu, spolja, svetlosmeđe bajcovano, 63x63 cm",5.000,Pregled: 4.8 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/naemmaroe-stolicica-spolja-sklopivo-svetlosmede-bajcovano-70510300/,https://www.ikea.com/rs/sr/images/products/naemmaroe-stolicica-spolja-sklopivo-svetlosmede-bajcovano__1138761_pe880061_s5.jpg?f=xxs,,NÄMMARÖ,"Stoličica,spolja, sklopivo/svetlosmeđe bajcovano, 37x45 cm",2.000,Pregled: 4.8 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/naemmaroe-fotelja-spolja-svetlosmede-bajcovano-40510306/,https://www.ikea.com/rs/sr/images/products/naemmaroe-fotelja-spolja-svetlosmede-bajcovano__1138755_pe880055_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/naemmaroe-fotelja-spolja-svetlosmede-bajcovano__1185528_pe898427_s5.jpg?f=xxs,NÄMMARÖ,"Fotelja, spolja, svetlosmeđe bajcovano",8.499,Pregled: 4.8 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/mabaersskaer-stocic-za-kafu-napolju-u-zatvorenom-bela-30597164/,https://www.ikea.com/rs/sr/images/products/mabaersskaer-stocic-za-kafu-napolju-u-zatvorenom-bela__1453922_pe991429_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/mabaersskaer-stocic-za-kafu-napolju-u-zatvorenom-bela__1475439_pe998557_s5.jpg?f=xxs,MÅBÄRSSKÄR,"Stočić za kafu, napolju u zatvorenom/bela, 61x41 cm",3.499,Pregled: 5 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/kuddarna-jastucic-za-stolicu-spolja-svetla-sivobez-00547222/,https://www.ikea.com/rs/sr/images/products/kuddarna-jastucic-za-stolicu-spolja-svetla-sivobez__1458347_pe992998_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/kuddarna-jastucic-za-stolicu-spolja-svetla-sivobez__1458644_pe993106_s5.jpg?f=xxs,KUDDARNA,"Jastučić za stolicu,spolja, svetla sivobež, 36x32 cm",500,Pregled: 4.4 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/froesoen-navlaka-za-jastucic-sedista-naslona-napolju-bez-30391714/,https://www.ikea.com/rs/sr/images/products/froesoen-navlaka-za-jastucic-sedista-naslona-napolju-bez__0685072_pe721335_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/froesoen-navlaka-za-jastucic-sedista-naslona-napolju-bez__0905299_pe665653_s5.jpg?f=xxs,FRÖSÖN,"Navlaka za jastučić sedišta/naslona, napolju bež, 116x45 cm",1.800,Pregled: 4.3 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/naemmaroe-klupa-s-naslonom-i-jastucima-svetlosmede-bajcovano-kuddarna-svetla-sivobez-s09575220/,https://www.ikea.com/rs/sr/images/products/naemmaroe-klupa-s-naslonom-i-jastucima-svetlosmede-bajcovano-kuddarna-svetla-sivobez__1469168_pe996447_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/naemmaroe-klupa-s-naslonom-i-jastucima-svetlosmede-bajcovano-kuddarna-svetla-sivobez__1408032_pe971688_s5.jpg?f=xxs,NÄMMARÖ,"Klupa s naslonom i jastucima, svetlosmeđe bajcovano/Kuddarna svetla sivobež",12.399,Pregled: 4.4 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/naemmaroe-stolica-s-rukohvatima-spolja-svetlosmede-bajcovano-kuddarna-svetlosivobez-s29607705/,https://www.ikea.com/rs/sr/images/products/naemmaroe-stolica-s-rukohvatima-spolja-svetlosmede-bajcovano-kuddarna-svetlosivobez__1437394_pe984430_s5.jpg?f=xxs,,NÄMMARÖ,"Stolica s rukohvatima,spolja, svetlosmeđe bajcovano/Kuddarna svetlosivobež",6.700,Pregled: 5 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/naemmaroe-stolica-s-podesivim-naslonom-spolja-svetlosmede-bajcovano-kuddarna-svetlosivobez-s09607711/,https://www.ikea.com/rs/sr/images/products/naemmaroe-stolica-s-podesivim-naslonom-spolja-svetlosmede-bajcovano-kuddarna-svetlosivobez__1437400_pe984434_s5.jpg?f=xxs,,NÄMMARÖ,"Stolica s podesivim naslonom,spolja, svetlosmeđe bajcovano/Kuddarna svetlosivobež",8.500,Pregled: 4.8 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/lagaskaer-stocic-za-kafu-spolja-bez-90543762/,https://www.ikea.com/rs/sr/images/products/lagaskaer-stocic-za-kafu-spolja-bez__1138960_pe880165_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/lagaskaer-stocic-za-kafu-spolja-bez__1191036_pe900410_s5.jpg?f=xxs,LÅGASKÄR,"Stočić za kafu, spolja, bež",6.999,Pregled: 4.7 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/naemmaroe-kutija-za-odlaganje-svetlosmede-bajcovano-u-zatvorenom-napolju-40532742/,https://www.ikea.com/rs/sr/images/products/naemmaroe-kutija-za-odlaganje-svetlosmede-bajcovano-u-zatvorenom-napolju__1175345_pe894657_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/naemmaroe-kutija-za-odlaganje-svetlosmede-bajcovano-u-zatvorenom-napolju__1155868_pe886750_s5.jpg?f=xxs,NÄMMARÖ,"Kutija za odlaganje, svetlosmeđe bajcovano u zatvorenom/napolju, 80x40x45 cm",8.999,Pregled: 4.6 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/sundsoe-sto-svetlozelena-napolju-10582583/,https://www.ikea.com/rs/sr/images/products/sundsoe-sto-svetlozelena-napolju__1352300_pe952170_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/sundsoe-sto-svetlozelena-napolju__1391264_pe965735_s5.jpg?f=xxs,SUNDSÖ,"Sto, svetlozelena napolju, 65x65 cm",4.999,Pregled: 4.8 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/kloesan-jastucic-za-stolicu-spolja-tamnoplava-20583822/,https://www.ikea.com/rs/sr/images/products/kloesan-jastucic-za-stolicu-spolja-tamnoplava__1382372_pe962278_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/kloesan-jastucic-za-stolicu-spolja-tamnoplava__1382377_pe962283_s5.jpg?f=xxs,KLÖSAN,"Jastučić za stolicu,spolja, tamnoplava, 36x32 cm",599,Pregled: 5 od 5 Zvezdice. Ukupno recenzija:
