URL,productImage ,imageBack,Headline,Description ,price,plp-typography-label-m 2,rating
https://www.ikea.com/rs/sr/p/ikea-365-posuda-za-hranu-s-poklopcem-pravougaono-staklo-plastika-s89269071/,https://www.ikea.com/rs/sr/images/products/ikea-365-posuda-za-hranu-s-poklopcem-pravougaono-staklo-plastika__0594322_pe675641_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/ikea-365-posuda-za-hranu-s-poklopcem-pravougaono-staklo-plastika__1414273_pe974748_s5.jpg?f=xxs,IKEA 365+,"Posuda za hranu s poklopcem, pravougaono staklo/plastika, 1.0 l",398,"27% popusta, uštedi 151RSD",Pregled: 4.7 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/ikea-365-posuda-za-hranu-s-poklopcem-kvadrat-staklo-plastika-s39269120/,https://www.ikea.com/rs/sr/images/products/ikea-365-posuda-za-hranu-s-poklopcem-kvadrat-staklo-plastika__0594413_pe675730_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/ikea-365-posuda-za-hranu-s-poklopcem-kvadrat-staklo-plastika__1425124_pe979442_s5.jpg?f=xxs,IKEA 365+,"Posuda za hranu s poklopcem, kvadrat staklo/plastika, 600 ml",368,"21% popusta, uštedi 101RSD",Pregled: 4.7 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/ikea-365-posuda-za-hranu-s-poklopcem-kvadrat-plastika-s49269105/,https://www.ikea.com/rs/sr/images/products/ikea-365-posuda-za-hranu-s-poklopcem-kvadrat-plastika__0594415_pe675733_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/ikea-365-posuda-za-hranu-s-poklopcem-kvadrat-plastika__1414270_pe974745_s5.jpg?f=xxs,IKEA 365+,"Posuda za hranu s poklopcem, kvadrat/plastika, 750 ml",238,"20% popusta, uštedi 61RSD",Pregled: 4.6 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/bestaemma-posuda-za-hranu-s-poklopcem-staklo-50495763/,https://www.ikea.com/rs/sr/images/products/bestaemma-posuda-za-hranu-s-poklopcem-staklo__1035153_pe841276_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/bestaemma-posuda-za-hranu-s-poklopcem-staklo__1035155_pe841279_s5.jpg?f=xxs,BESTÄMMA,"Posuda za hranu s poklopcem, staklo, 0.5 l",249,,Pregled: 3.8 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/ikea-365-posuda-za-hranu-s-poklopcem-pravougaono-staklo-bambus-s09269065/,https://www.ikea.com/rs/sr/images/products/ikea-365-posuda-za-hranu-s-poklopcem-pravougaono-staklo-bambus__0594317_pe675640_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/ikea-365-posuda-za-hranu-s-poklopcem-pravougaono-staklo-bambus__1414199_pe974725_s5.jpg?f=xxs,IKEA 365+,"Posuda za hranu s poklopcem, pravougaono staklo/bambus, 1.0 l",478,"20% popusta, uštedi 121RSD",Pregled: 4.4 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/ikea-365-kutija-za-suvu-hranu-s-poklopcem-providno-bela-80066723/,https://www.ikea.com/rs/sr/images/products/ikea-365-kutija-za-suvu-hranu-s-poklopcem-providno-bela__0711434_pe728250_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/ikea-365-kutija-za-suvu-hranu-s-poklopcem-providno-bela__1288087_pe934094_s5.jpg?f=xxs,IKEA 365+,"Kutija za suvu hranu s poklopcem, providno/bela, 1.3 l",279,"20% popusta, uštedi 70RSD",Pregled: 4.6 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/havstobis-posuda-za-hranu-s-poklopcem-5-kom-providno-raznobojno-30559275/,https://www.ikea.com/rs/sr/images/products/havstobis-posuda-za-hranu-s-poklopcem-5-kom-providno-raznobojno__1217927_pe913088_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/havstobis-posuda-za-hranu-s-poklopcem-5-kom-providno-raznobojno__1286733_pe933698_s5.jpg?f=xxs,HAVSTOBIS,"Posuda za hranu s poklopcem, 5 kom, providno/raznobojno",1.299,,Pregled: 4.1 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/korallvippa-kutija-za-suvu-hranu-pokl-set-od-6-providno-70599316/,https://www.ikea.com/rs/sr/images/products/korallvippa-kutija-za-suvu-hranu-pokl-set-od-6-providno__1383821_pe962684_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/korallvippa-kutija-za-suvu-hranu-pokl-set-od-6-providno__1396661_pe967415_s5.jpg?f=xxs,KORALLVIPPA,"Kutija za suvu hranu pokl. set od 6, providno",1.799,,Pregled: 4.5 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/ikea-365-posuda-za-hranu-s-poklopcem-pravougaono-staklo-plastika-s29269074/,https://www.ikea.com/rs/sr/images/products/ikea-365-posuda-za-hranu-s-poklopcem-pravougaono-staklo-plastika__0594330_pe675654_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/ikea-365-posuda-za-hranu-s-poklopcem-pravougaono-staklo-plastika__0897022_pe695009_s5.jpg?f=xxs,IKEA 365+,"Posuda za hranu s poklopcem, pravougaono staklo/plastika, 1.8 l",518,"25% popusta, uštedi 181RSD",Pregled: 4.7 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/pruta-posuda-za-hranu-s-poklopcem-plava-10597103/,https://www.ikea.com/rs/sr/images/products/pruta-posuda-za-hranu-s-poklopcem-plava__1383825_pe962687_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/pruta-posuda-za-hranu-s-poklopcem-plava__1396649_pe967405_s5.jpg?f=xxs,PRUTA,"Posuda za hranu s poklopcem, plava, 0.6 l",149,,Pregled: 4.6 od 5 Zvezdice. Ukupno recenzija:
