web_scraper_order,web_scraper_start_url,price,price2,price3,price4,price5,price6,price7,data,data2,data3,data4,data5,price8,price9,data6,data7,price10,data8,data9,price11,price12,price13,data10,image,image2,image3
"1771928368-1","https://www.ikea.com/rs/sr/cat/posude-za-hranu-15937/?page=7","Posuda za hranu s poklopcem, pravougaono staklo/plastika, 1.0 l","IKEA 365+","(4711)","549","Cena 549RSD","Cena 549RSD","","","","","","Uporedi","549","RSD","Na zalihama u Beograd","","RSD","","","","","","","https://www.ikea.com/rs/sr/images/products/ikea-365-posuda-za-hranu-s-poklopcem-pravougaono-staklo-plastika__0594322_pe675641_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/ikea-365-posuda-za-hranu-s-poklopcem-pravougaono-staklo-plastika__0594322_pe675641_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/ikea-365-posuda-za-hranu-s-poklopcem-pravougaono-staklo-plastika__1414273_pe974748_s5.jpg?f=xxs"
"1771928368-2","https://www.ikea.com/rs/sr/cat/posude-za-hranu-15937/?page=7","Posuda za hranu s poklopcem, pravougaono staklo/bambus, 1.0 l","IKEA 365+","(931)","599","Cena 599RSD","Cena 599RSD","","","","","","Uporedi","599","RSD","Na zalihama u Beograd","","RSD","","","","","","","https://www.ikea.com/rs/sr/images/products/ikea-365-posuda-za-hranu-s-poklopcem-pravougaono-staklo-bambus__0594317_pe675640_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/ikea-365-posuda-za-hranu-s-poklopcem-pravougaono-staklo-bambus__0594317_pe675640_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/ikea-365-posuda-za-hranu-s-poklopcem-pravougaono-staklo-bambus__1414199_pe974725_s5.jpg?f=xxs"
"1771928368-3","https://www.ikea.com/rs/sr/cat/posude-za-hranu-15937/?page=7","Tegla s poklopcem, bistro staklo, 0.5 l","KORKEN","(3387)","249","Cena 249RSD","Cena 249RSD","","","","","","Uporedi","249","RSD","Na zalihama u Beograd","","RSD","","","","","","","https://www.ikea.com/rs/sr/images/products/korken-tegla-s-poklopcem-bistro-staklo__0713740_pe729739_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/korken-tegla-s-poklopcem-bistro-staklo__0713740_pe729739_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/korken-tegla-s-poklopcem-bistro-staklo__1534504_pe1016159_s5.jpg?f=xxs"
"1771928368-4","https://www.ikea.com/rs/sr/cat/posude-za-hranu-15937/?page=7","Posuda za hranu s poklop. set od 17, zelena","PRUTA","(225)","699","Cena 699RSD","Cena 699RSD","","","","","","Uporedi","699","RSD","Na zalihama u Beograd","","RSD","","","","","","","https://www.ikea.com/rs/sr/images/products/pruta-posuda-za-hranu-s-poklop-set-od-17-zelena__1383829_pe962689_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/pruta-posuda-za-hranu-s-poklop-set-od-17-zelena__1383829_pe962689_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/pruta-posuda-za-hranu-s-poklop-set-od-17-zelena__1449400_pe989894_s5.jpg?f=xxs"
"1771928368-5","https://www.ikea.com/rs/sr/cat/posude-za-hranu-15937/?page=7","Kutija za suvu hranu s poklopcem, providno/bela, 2.3 l","IKEA 365+","(3316)","399","Cena 399RSD","Cena 399RSD","","2.3 l","1.3 l","IKEA 365+","Još opcijaIKEA 365+","Uporedi","399","RSD","Na zalihama u Beograd","Nova
niža
cena","RSD","","","499","RSD","Prethodna cena 499RSD","Prethodna cena","https://www.ikea.com/rs/sr/images/products/ikea-365-kutija-za-suvu-hranu-s-poklopcem-providno-bela__0711438_pe728254_s5.jpg?f=xxs","","https://www.ikea.com/rs/sr/images/products/ikea-365-kutija-za-suvu-hranu-s-poklopcem-providno-bela__1542994_pe1018602_s5.jpg?f=xxs"
"1771928368-6","https://www.ikea.com/rs/sr/cat/posude-za-hranu-15937/?page=7","Organizator za kuhinj. radnu ploču, metal/bambus, 38x13x28 cm","NÅLBLECKA","(315)","1.599","Cena 1599RSD","Cena 1599RSD","","","","","","Uporedi","1.599","RSD","Na zalihama u Beograd","","RSD","","","","","","","https://www.ikea.com/rs/sr/images/products/nalblecka-organizator-za-kuhinj-radnu-plocu-metal-bambus__1215091_pe911832_s5.jpg?f=xxs","","https://www.ikea.com/rs/sr/images/products/nalblecka-organizator-za-kuhinj-radnu-plocu-metal-bambus__1542548_pe1018485_s5.jpg?f=xxs"
"1771928368-7","https://www.ikea.com/rs/sr/cat/posude-za-hranu-15937/?page=7","Kutija za suvu hranu pokl. set od 6, providno","KORALLVIPPA","(166)","1.799","Cena 1799RSD","Cena 1799RSD","","","","","","Uporedi","1.799","RSD","Na zalihama u Beograd","","RSD","","","","","","","https://www.ikea.com/rs/sr/images/products/korallvippa-kutija-za-suvu-hranu-pokl-set-od-6-providno__1383821_pe962684_s5.jpg?f=xxs","","https://www.ikea.com/rs/sr/images/products/korallvippa-kutija-za-suvu-hranu-pokl-set-od-6-providno__1396661_pe967415_s5.jpg?f=xxs"
"1771928368-8","https://www.ikea.com/rs/sr/cat/posude-za-hranu-15937/?page=7","Set kutija za hranu, 2 kom., drvo","CHOKLADHAJ","(68)","1.299","Cena 1299RSD","Cena 1299RSD","","","","","","Uporedi","1.299","RSD","Na zalihama u Beograd","","RSD","","","","","","","https://www.ikea.com/rs/sr/images/products/chokladhaj-set-kutija-za-hranu-2-kom-drvo__1432535_pe982826_s5.jpg?f=xxs","","https://www.ikea.com/rs/sr/images/products/chokladhaj-set-kutija-za-hranu-2-kom-drvo__1440664_pe986587_s5.jpg?f=xxs"
"1771928368-9","https://www.ikea.com/rs/sr/cat/posude-za-hranu-15937/?page=7","Posuda za hranu s poklopcem, kvadrat/plastika, 750 ml","IKEA 365+","(1209)","299","Cena 299RSD","Cena 299RSD","","750 ml","","IKEA 365+","Još opcijaIKEA 365+","Uporedi","299","RSD","Na zalihama u Beograd","","RSD","","","","","","","https://www.ikea.com/rs/sr/images/products/ikea-365-posuda-za-hranu-s-poklopcem-kvadrat-plastika__0594415_pe675733_s5.jpg?f=xxs","","https://www.ikea.com/rs/sr/images/products/ikea-365-posuda-za-hranu-s-poklopcem-kvadrat-plastika__1414270_pe974745_s5.jpg?f=xxs"
"1771928368-10","https://www.ikea.com/rs/sr/cat/posude-za-hranu-15937/?page=7","Posuda za hranu s poklopcem, staklo, 0.5 l","BESTÄMMA","(308)","249","Cena 249RSD","Cena 249RSD","","","","","","Uporedi","249","RSD","Na zalihama u Beograd","","RSD","","","","","","","https://www.ikea.com/rs/sr/images/products/bestaemma-posuda-za-hranu-s-poklopcem-staklo__1035153_pe841276_s5.jpg?f=xxs","","https://www.ikea.com/rs/sr/images/products/bestaemma-posuda-za-hranu-s-poklopcem-staklo__1035155_pe841279_s5.jpg?f=xxs"
