web_scraper_order,web_scraper_start_url,price,price2,price3,price4,price5,data,data2,data3,data4,data5,data6,data7,price6,price7,price8,price9,price10,price11,price12,price13,price14,price15,data8,data9,data10,data11,price16,price17,price18,price19,image,image2,image3,image4,image5,image6,image7,image8,image9,image10,image11,image12,image13,image14,image15,image16,image17,image18,image19,image20
"1771951476-1","https://www.ikea.com/rs/sr/cat/table-700675/?page=8","Sto, bela/bela, 125x74 cm","Sto, bela/bela, 125x74 cm","Sto, bela/bela, 125x74 cm","7.499","Cena 7499RSD","","","","","","","","VIHALS","VIHALS","(67)","(67)","(67)","(67)","(67)","(67)","(67)","(67)","","","","","Sto, bela/bela, 125x74 cm","Sto, bela/bela, 125x74 cm","Sto, bela/bela, 125x74 cm","Sto, bela/bela, 125x74 cm","","","https://www.ikea.com/rs/sr/images/products/vihals-sto-bela-bela__1388805_pe964975_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/vihals-sto-bela-bela__1388805_pe964975_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/vihals-sto-bela-bela__1388805_pe964975_s5.jpg?f=xxs","","https://www.ikea.com/rs/sr/images/products/vihals-sto-bela-bela__1388805_pe964975_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/vihals-sto-bela-bela__1388805_pe964975_s5.jpg?f=xxs","","https://www.ikea.com/rs/sr/images/products/vihals-sto-bela-bela__1388805_pe964975_s5.jpg?f=xxs","","","https://www.ikea.com/rs/sr/images/products/vihals-sto-bela-bela__1388805_pe964975_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/vihals-sto-bela-bela__1388805_pe964975_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/vihals-sto-bela-bela__1388805_pe964975_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/vihals-sto-bela-bela__1388805_pe964975_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/vihals-sto-bela-bela__1388805_pe964975_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/vihals-sto-bela-bela__1388805_pe964975_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/vihals-sto-bela-bela__1388805_pe964975_s5.jpg?f=xxs",""
"1771951476-2","https://www.ikea.com/rs/sr/cat/table-700675/?page=8","Stočić za kafu, bela, 90x55 cm","Stočić za kafu, bela, 90x55 cm","Stočić za kafu, bela, 90x55 cm","2.499","Cena 2499RSD","Opcija: LACK, Stočić za kafu, crnosmeđa, 90x55 cm","","","","","","","LACK","LACK","(3695)","(3695)","(3695)","(3695)","(3695)","(3695)","(3695)","(3695)","LACK","Još opcijaLACK","LACK","Još opcijaLACK","Stočić za kafu, bela, 90x55 cm","Stočić za kafu, bela, 90x55 cm","Stočić za kafu, bela, 90x55 cm","Stočić za kafu, bela, 90x55 cm","https://www.ikea.com/rs/sr/images/products/lack-stocic-za-kafu-crnosmeda__57540_pe163122_s5.jpg?f=xu","","https://www.ikea.com/rs/sr/images/products/lack-stocic-za-kafu-bela__0750652_pe746803_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/lack-stocic-za-kafu-bela__0750652_pe746803_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/lack-stocic-za-kafu-bela__0750652_pe746803_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/lack-stocic-za-kafu-bela__0750652_pe746803_s5.jpg?f=xu","https://www.ikea.com/rs/sr/images/products/lack-stocic-za-kafu-bela__0750652_pe746803_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/lack-stocic-za-kafu-bela__0750652_pe746803_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/lack-stocic-za-kafu-bela__0750652_pe746803_s5.jpg?f=xu","https://www.ikea.com/rs/sr/images/products/lack-stocic-za-kafu-bela__0750652_pe746803_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/lack-stocic-za-kafu-bela__0750652_pe746803_s5.jpg?f=xu","https://www.ikea.com/rs/sr/images/products/lack-stocic-za-kafu-bela__0750652_pe746803_s5.jpg?f=xu","https://www.ikea.com/rs/sr/images/products/lack-stocic-za-kafu-bela__0750652_pe746803_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/lack-stocic-za-kafu-bela__0750652_pe746803_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/lack-stocic-za-kafu-bela__0750652_pe746803_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/lack-stocic-za-kafu-bela__0750652_pe746803_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/lack-stocic-za-kafu-bela__0750652_pe746803_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/lack-stocic-za-kafu-bela__0750652_pe746803_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/lack-stocic-za-kafu-bela__0750652_pe746803_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/lack-stocic-za-kafu-bela__0750652_pe746803_s5.jpg?f=xu"
"1771951476-3","https://www.ikea.com/rs/sr/cat/table-700675/?page=8","Sto, crna, 110x67 cm","Sto, crna, 110x67 cm","Sto, crna, 110x67 cm","4.999","Cena 4999RSD","","","","","","","","SANDSBERG","SANDSBERG","(1027)","(1027)","(1027)","(1027)","(1027)","(1027)","(1027)","(1027)","SANDSBERG","Još opcijaSANDSBERG","SANDSBERG","Još opcijaSANDSBERG","Sto, crna, 110x67 cm","Sto, crna, 110x67 cm","Sto, crna, 110x67 cm","Sto, crna, 110x67 cm","","","https://www.ikea.com/rs/sr/images/products/sandsberg-sto-crna__1074348_pe856162_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/sandsberg-sto-crna__1074348_pe856162_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/sandsberg-sto-crna__1074348_pe856162_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/sandsberg-sto-crna__1074348_pe856162_s5.jpg?f=xu","https://www.ikea.com/rs/sr/images/products/sandsberg-sto-crna__1074348_pe856162_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/sandsberg-sto-crna__1074348_pe856162_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/sandsberg-sto-crna__1074348_pe856162_s5.jpg?f=xu","https://www.ikea.com/rs/sr/images/products/sandsberg-sto-crna__1074348_pe856162_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/sandsberg-sto-crna__1074348_pe856162_s5.jpg?f=xu","https://www.ikea.com/rs/sr/images/products/sandsberg-sto-crna__1074348_pe856162_s5.jpg?f=xu","https://www.ikea.com/rs/sr/images/products/sandsberg-sto-crna__1074348_pe856162_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/sandsberg-sto-crna__1074348_pe856162_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/sandsberg-sto-crna__1074348_pe856162_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/sandsberg-sto-crna__1074348_pe856162_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/sandsberg-sto-crna__1074348_pe856162_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/sandsberg-sto-crna__1074348_pe856162_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/sandsberg-sto-crna__1074348_pe856162_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/sandsberg-sto-crna__1074348_pe856162_s5.jpg?f=xu"
"1771951476-4","https://www.ikea.com/rs/sr/cat/table-700675/?page=8","Set stočića, 2 kom, bela","Set stočića, 2 kom, bela","Set stočića, 2 kom, bela","1.998","Cena 1998RSD","","","","","","","","LACK","LACK","(376)","(376)","(376)","(376)","(376)","(376)","(376)","(376)","","","","","Set stočića, 2 kom, bela","Set stočića, 2 kom, bela","Set stočića, 2 kom, bela","Set stočića, 2 kom, bela","","","https://www.ikea.com/rs/sr/images/products/lack-set-stocica-2-kom-bela__1057264_pe848811_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/lack-set-stocica-2-kom-bela__1057264_pe848811_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/lack-set-stocica-2-kom-bela__1057264_pe848811_s5.jpg?f=xxs","","https://www.ikea.com/rs/sr/images/products/lack-set-stocica-2-kom-bela__1057264_pe848811_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/lack-set-stocica-2-kom-bela__1057264_pe848811_s5.jpg?f=xxs","","https://www.ikea.com/rs/sr/images/products/lack-set-stocica-2-kom-bela__1057264_pe848811_s5.jpg?f=xxs","","","https://www.ikea.com/rs/sr/images/products/lack-set-stocica-2-kom-bela__1057264_pe848811_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/lack-set-stocica-2-kom-bela__1057264_pe848811_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/lack-set-stocica-2-kom-bela__1057264_pe848811_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/lack-set-stocica-2-kom-bela__1057264_pe848811_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/lack-set-stocica-2-kom-bela__1057264_pe848811_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/lack-set-stocica-2-kom-bela__1057264_pe848811_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/lack-set-stocica-2-kom-bela__1057264_pe848811_s5.jpg?f=xxs",""
"1771951476-5","https://www.ikea.com/rs/sr/cat/table-700675/?page=8","Pomoćni stočić, bela, 55x55 cm","Pomoćni stočić, bela, 55x55 cm","Pomoćni stočić, bela, 55x55 cm","1.199","Cena 1199RSD","","","","","","","","LACK","LACK","(3406)","(3406)","(3406)","(3406)","(3406)","(3406)","(3406)","(3406)","LACK","Još opcijaLACK","LACK","Još opcijaLACK","Pomoćni stočić, bela, 55x55 cm","Pomoćni stočić, bela, 55x55 cm","Pomoćni stočić, bela, 55x55 cm","Pomoćni stočić, bela, 55x55 cm","","","https://www.ikea.com/rs/sr/images/products/lack-pomocni-stocic-bela__0702210_pe724345_s5.jpg?f=xxs","","https://www.ikea.com/rs/sr/images/products/lack-pomocni-stocic-bela__0702210_pe724345_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/lack-pomocni-stocic-bela__0702210_pe724345_s5.jpg?f=xu","https://www.ikea.com/rs/sr/images/products/lack-pomocni-stocic-bela__0702210_pe724345_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/lack-pomocni-stocic-bela__0702210_pe724345_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/lack-pomocni-stocic-bela__0702210_pe724345_s5.jpg?f=xu","https://www.ikea.com/rs/sr/images/products/lack-pomocni-stocic-bela__0702210_pe724345_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/lack-pomocni-stocic-bela__0702210_pe724345_s5.jpg?f=xu","https://www.ikea.com/rs/sr/images/products/lack-pomocni-stocic-bela__0702210_pe724345_s5.jpg?f=xu","","https://www.ikea.com/rs/sr/images/products/lack-pomocni-stocic-bela__0702210_pe724345_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/lack-pomocni-stocic-bela__0702210_pe724345_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/lack-pomocni-stocic-bela__0702210_pe724345_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/lack-pomocni-stocic-bela__0702210_pe724345_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/lack-pomocni-stocic-bela__0702210_pe724345_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/lack-pomocni-stocic-bela__0702210_pe724345_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/lack-pomocni-stocic-bela__0702210_pe724345_s5.jpg?f=xu"
"1771951476-6","https://www.ikea.com/rs/sr/cat/table-700675/?page=8","Pomoćni stočić, bela, 35x35 cm","Pomoćni stočić, bela, 35x35 cm","Pomoćni stočić, bela, 35x35 cm","799","Cena 799RSD","","","","","","","","LACK","LACK","(900)","(900)","(900)","(900)","(900)","(900)","(900)","(900)","","","","","Pomoćni stočić, bela, 35x35 cm","Pomoćni stočić, bela, 35x35 cm","Pomoćni stočić, bela, 35x35 cm","Pomoćni stočić, bela, 35x35 cm","","","https://www.ikea.com/rs/sr/images/products/lack-pomocni-stocic-bela__1057250_pe848800_s5.jpg?f=xxs","","https://www.ikea.com/rs/sr/images/products/lack-pomocni-stocic-bela__1057250_pe848800_s5.jpg?f=xxs","","https://www.ikea.com/rs/sr/images/products/lack-pomocni-stocic-bela__1057250_pe848800_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/lack-pomocni-stocic-bela__1057250_pe848800_s5.jpg?f=xxs","","https://www.ikea.com/rs/sr/images/products/lack-pomocni-stocic-bela__1057250_pe848800_s5.jpg?f=xxs","","","","https://www.ikea.com/rs/sr/images/products/lack-pomocni-stocic-bela__1057250_pe848800_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/lack-pomocni-stocic-bela__1057250_pe848800_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/lack-pomocni-stocic-bela__1057250_pe848800_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/lack-pomocni-stocic-bela__1057250_pe848800_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/lack-pomocni-stocic-bela__1057250_pe848800_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/lack-pomocni-stocic-bela__1057250_pe848800_s5.jpg?f=xxs",""
"1771951476-7","https://www.ikea.com/rs/sr/cat/table-700675/?page=8","Sto na preklop, bela, 39/95/151x90 cm","Sto na preklop, bela, 39/95/151x90 cm","Sto na preklop, bela, 39/95/151x90 cm","17.999","Cena 17999RSD","","","","","","","","VIHALS","VIHALS","(39)","(39)","(39)","(39)","(39)","(39)","(39)","(39)","","","","","Sto na preklop, bela, 39/95/151x90 cm","Sto na preklop, bela, 39/95/151x90 cm","Sto na preklop, bela, 39/95/151x90 cm","Sto na preklop, bela, 39/95/151x90 cm","","","https://www.ikea.com/rs/sr/images/products/vihals-sto-na-preklop-bela__1370482_pe958753_s5.jpg?f=xxs","","https://www.ikea.com/rs/sr/images/products/vihals-sto-na-preklop-bela__1370482_pe958753_s5.jpg?f=xxs","","https://www.ikea.com/rs/sr/images/products/vihals-sto-na-preklop-bela__1370482_pe958753_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/vihals-sto-na-preklop-bela__1370482_pe958753_s5.jpg?f=xxs","","https://www.ikea.com/rs/sr/images/products/vihals-sto-na-preklop-bela__1370482_pe958753_s5.jpg?f=xxs","","","","https://www.ikea.com/rs/sr/images/products/vihals-sto-na-preklop-bela__1370482_pe958753_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/vihals-sto-na-preklop-bela__1370482_pe958753_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/vihals-sto-na-preklop-bela__1370482_pe958753_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/vihals-sto-na-preklop-bela__1370482_pe958753_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/vihals-sto-na-preklop-bela__1370482_pe958753_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/vihals-sto-na-preklop-bela__1370482_pe958753_s5.jpg?f=xxs",""
"1771951476-8","https://www.ikea.com/rs/sr/cat/table-700675/?page=8","Sto, bela/bela, 74x74 cm","Sto, bela/bela, 74x74 cm","Sto, bela/bela, 74x74 cm","6.499","Cena 6499RSD","","","","","","","","VIHALS","VIHALS","(53)","(53)","(53)","(53)","(53)","(53)","(53)","(53)","","","","","Sto, bela/bela, 74x74 cm","Sto, bela/bela, 74x74 cm","Sto, bela/bela, 74x74 cm","Sto, bela/bela, 74x74 cm","","","https://www.ikea.com/rs/sr/images/products/vihals-sto-bela-bela__1388807_pe964980_s5.jpg?f=xxs","","https://www.ikea.com/rs/sr/images/products/vihals-sto-bela-bela__1388807_pe964980_s5.jpg?f=xxs","","https://www.ikea.com/rs/sr/images/products/vihals-sto-bela-bela__1388807_pe964980_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/vihals-sto-bela-bela__1388807_pe964980_s5.jpg?f=xxs","","https://www.ikea.com/rs/sr/images/products/vihals-sto-bela-bela__1388807_pe964980_s5.jpg?f=xxs","","","","https://www.ikea.com/rs/sr/images/products/vihals-sto-bela-bela__1388807_pe964980_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/vihals-sto-bela-bela__1388807_pe964980_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/vihals-sto-bela-bela__1388807_pe964980_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/vihals-sto-bela-bela__1388807_pe964980_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/vihals-sto-bela-bela__1388807_pe964980_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/vihals-sto-bela-bela__1388807_pe964980_s5.jpg?f=xxs",""
"1771951476-9","https://www.ikea.com/rs/sr/cat/table-700675/?page=8","Sto, bela/bela, 107 cm","Sto, bela/bela, 107 cm","Sto, bela/bela, 107 cm","8.999","Cena 8999RSD","","","","","","","","VIHALS","VIHALS","(56)","(56)","(56)","(56)","(56)","(56)","(56)","(56)","","","","","Sto, bela/bela, 107 cm","Sto, bela/bela, 107 cm","Sto, bela/bela, 107 cm","Sto, bela/bela, 107 cm","","","https://www.ikea.com/rs/sr/images/products/vihals-sto-bela-bela__1388806_pe964976_s5.jpg?f=xxs","","https://www.ikea.com/rs/sr/images/products/vihals-sto-bela-bela__1388806_pe964976_s5.jpg?f=xxs","","https://www.ikea.com/rs/sr/images/products/vihals-sto-bela-bela__1388806_pe964976_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/vihals-sto-bela-bela__1388806_pe964976_s5.jpg?f=xxs","","https://www.ikea.com/rs/sr/images/products/vihals-sto-bela-bela__1388806_pe964976_s5.jpg?f=xxs","","","","https://www.ikea.com/rs/sr/images/products/vihals-sto-bela-bela__1388806_pe964976_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/vihals-sto-bela-bela__1388806_pe964976_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/vihals-sto-bela-bela__1388806_pe964976_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/vihals-sto-bela-bela__1388806_pe964976_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/vihals-sto-bela-bela__1388806_pe964976_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/vihals-sto-bela-bela__1388806_pe964976_s5.jpg?f=xxs",""
"1771951476-10","https://www.ikea.com/rs/sr/cat/table-700675/?page=8","Postolje za laptop, bela, 68x36 cm","Postolje za laptop, bela, 68x36 cm","Postolje za laptop, bela, 68x36 cm","8.999","Cena 8999RSD","","","","","","","","BOLLSIDAN","BOLLSIDAN","(529)","(529)","(529)","(529)","(529)","(529)","(529)","(529)","","","","","Postolje za laptop, bela, 68x36 cm","Postolje za laptop, bela, 68x36 cm","Postolje za laptop, bela, 68x36 cm","Postolje za laptop, bela, 68x36 cm","","","https://www.ikea.com/rs/sr/images/products/bollsidan-postolje-za-laptop-bela__1163783_pe890330_s5.jpg?f=xxs","","https://www.ikea.com/rs/sr/images/products/bollsidan-postolje-za-laptop-bela__1163783_pe890330_s5.jpg?f=xxs","","https://www.ikea.com/rs/sr/images/products/bollsidan-postolje-za-laptop-bela__1163783_pe890330_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/bollsidan-postolje-za-laptop-bela__1163783_pe890330_s5.jpg?f=xxs","","https://www.ikea.com/rs/sr/images/products/bollsidan-postolje-za-laptop-bela__1163783_pe890330_s5.jpg?f=xxs","","","","https://www.ikea.com/rs/sr/images/products/bollsidan-postolje-za-laptop-bela__1163783_pe890330_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/bollsidan-postolje-za-laptop-bela__1163783_pe890330_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/bollsidan-postolje-za-laptop-bela__1163783_pe890330_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/bollsidan-postolje-za-laptop-bela__1163783_pe890330_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/bollsidan-postolje-za-laptop-bela__1163783_pe890330_s5.jpg?f=xxs","https://www.ikea.com/rs/sr/images/products/bollsidan-postolje-za-laptop-bela__1163783_pe890330_s5.jpg?f=xxs",""
